id,name,tags,ingredients,ingredients_quantity,processed_ingredients
1069,Box Rosso,['Box San Valentino'],"Cuore di scamone con granella di pistacchi e mandorle, Formaggio grattugiato fresco, Cuore di frolla con frutta fresca, Blau Pinot Nero dell’Oltrepò Pavese DOC Bio  Quaquarini, Cuore di pan di spagna e crema chantilly, Barbera dell’Oltrepò Pavese DOC Vigna Poggio Anna, Basilico Italia, Cipolla tritata, Verdure per dadolata di verdure, Zucchine grigliate, Taleggio Dop, Speck julienne, Panna da cucina, Gnocchi di patate, Prosciutto crudo di Parma  affettato, Stracciatella Artigianale","360gr, 10gr, 1None, 1unit, 1None, 1unit, 4gr, 6gr, 300gr, 120gr, 60gr, 40gr, 100ml, 400gr, 80gr, 80gr","scamone granella pistacchi mandorle, formaggio, frolla, blau pinot dell’oltrepò pavese doc quaquarini, pan crema chantilly, barbera dell’oltrepò pavese doc vigna poggio anna, basilico, cipolla, verdure verdure, zucchine grigliate, taleggio, speck, panna, gnocchi te, prosciutto crudo, stracciatella"
1071,Box Verde,['Box San Valentino'],"Formaggio grattugiato fresco, Olive taggiasche, Melanzane grigliate, Cuore di frolla con frutta fresca, Cuore di pan di spagna e crema chantilly, Vino Bianco Pienosole IGT Provincia di Pavia Riesling, Cubetti di caciocavallo dop Silano, Basilico Italia, Stracchino alta qualità, Zucchine a fette, Salsa di pomodoro artigianale pronta, Cipolla tritata, Radicchio rosso tondo julienne, Gnocchi di patate, Pomodori secchi, Mozzarella di bufala a fette","10gr, 30gr, 100gr, 1None, 1None, 1unit, 100gr, 6gr, 160gr, 80gr, 100gr, 10gr, 60gr, 400gr, 100gr, 120gr","formaggio, olive, melanzane grigliate, frolla, pan crema chantilly, vino pienosole igt provincia pavia riesling, caciocavallo silano, basilico, stracchino alta qualità, zucchine, salsa pomodoro pronta, cipolla, radicchio, gnocchi te, pomodori secchi, mozzarella bufala"
351,Branzino fresco intero al forno taglia 4/6,"['Piatto da preparare', 'Pesce', 'Grigliata', 'Secondo']","Aglio a fette, Prezzemolo Italia, Sale marino fino iodato, Olio extra vergine di oliva, Branzino eviscerato","2gr, 2gr, 2.5gr, 1.5ml, 400gr","aglio, prezzemolo, sale, olio oliva, branzino"
667,Bresaola con rucola e scaglie di formaggio,"['Carne', 'Piatto da preparare', 'Schiscetta', 'Secondo', 'Piatti estivi']","Bresaola punta d'anca, Limone da spremere (1 limone contiene circa 40ml di succo), Sale marino fino iodato, Rucola, Scaglie di formaggio stagionato, Olio extra vergine di oliva","50gr, 4ml, 2gr, 10gr, 20gr, 1.5ml","bresaola, limone limone, sale, rucola, formaggio, olio oliva"
405,Broccoli lessi,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Sale marino  grosso iodato, Olio extra vergine di oliva, Rosette di broccoli freschi","9gr, 5ml, 150gr","sale, olio oliva, broccoli"
49,Broccoli saltati in padella,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Rosette di broccoli freschi, Olio extra vergine di oliva, Sale marino  grosso iodato, Aglio a fette","150gr, 5ml, 8gr, 2gr","broccoli, olio oliva, sale, aglio"
689,Brunch,,"Fette di pane di Altamura, Bacon, Mirtillo nero, Yogurt artigianale naturale, Pepe nero macinato, Sale marino fino iodato, Granarolo burro italiano 200 g, Latte parzialmente scremato bio, Uova da galline allevate all'aperto senza OGM - Italia  CAT. A","40gr, 60gr, 25gr, 100gr, 1gr, 2gr, 5gr, 60ml, 3unit","pane, bacon, mirtillo, yogurt, pepe, sale, burro, latte, uova all'aperto ogm, "
871,Burger di patate,"['Piatto da preparare', 'Vegetariano', 'Novità e scelti per te', 'Secondo', 'Contorno']","Olio extra vergine di oliva, Sale marino fino iodato, Rosmarino fresco, Salvia fresca, Formaggio Grattugiato Fresco, Cipolla affettata, Patate cubettate","5ml, 1.5gr, 3gr, 1gr, 10gr, 30gr, 140gr","olio oliva, sale, rosmarino, salvia, formaggio, cipolla, te"
922,Capasanta gratinata  (1pezzo),"['Pesce', 'Antipasto']","Gratinatura mare, Capasanta atlantica fresca","40gr, 1unit","gratinatura mare, capasanta atlantica"
678,Caponata,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Novità e scelti per te', 'Contorno']","Salsa di pomodoro artigianale pronta, Zucchero semolato bianco, Pomodori datterini lavati, Sedano tagliato, Sale marino fino iodato, Olio extra vergine di oliva, Capperi e olive taggiasche, Basilico Italia, Aceto di mele, Pinoli, Cipolla affettata, Melanzane cubettate","20gr, 2gr, 20gr, 10gr, 2gr, 10ml, 15gr, 1gr, 2ml, 5gr, 20gr, 120gr","salsa pomodoro pronta, zucchero, pomodori, sedano, sale, olio oliva, capperi olive, basilico, aceto mele, pinoli, cipolla, melanzane"
156,Cappelletti freschi al prosciutto crudo in brodo vegetale,"['Carne', 'Piatto da preparare', 'Primo']","Sale marino fino iodato, Olio extra vergine di oliva, Cappelletti freschi al prosciutto crudo, Verdure per brodo vegetale, Formaggio grattugiato fresco","2gr, 5ml, 100gr, 62gr, 5gr","sale, olio oliva, cappelletti prosciutto crudo, verdure brodo vegetale, formaggio"
176,Caprese con mozzarella di bufala,"['Piatto da preparare', 'Vegetariano', 'Novità e scelti per te', 'Secondo', 'Piatti estivi']","Pomodoro cuore di bue a fette per caprese, Mozzarella di Bufala 125 g, Olio extra vergine di oliva, Sale marino fino iodato, Origano essiccato, Basilico Italia","120gr, 1unit, 5ml, 1gr, 1gr, 2gr","pomodoro bue caprese, mozzarella bufala, olio oliva, sale, origano, basilico"
166,Carpaccio di zucchine,"['Piatto da preparare', 'Vegetariano', 'Schiscetta', 'Antipasto']","Zucchine a fette per carpaccio, Olio extra vergine di oliva, Limone da spremere (1 limone contiene circa 40ml di succo), Sale marino fino iodato, Scaglie di formaggio stagionato, Menta","100gr, 1.5ml, 10ml, 1gr, 20gr, 1gr","zucchine carpaccio, olio oliva, limone limone, sale, formaggio, menta"
207,Cavolfiori con pomodorini e olive taggiasche,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Rosette di cavolfiori, Olio extra vergine di oliva, Sale marino  grosso iodato, Pomodori ciliegini lavati, Olive taggiasche, Aglio a fette, Prezzemolo Italia","120gr, 5ml, 9gr, 40gr, 10gr, 2gr, 2gr","cavolfiori, olio oliva, sale, pomodori ciliegini, olive, aglio, prezzemolo"
404,Cavolfiori lessi,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Rosette di cavolfiori, Sale marino  grosso iodato, Olio extra vergine di oliva","150gr, 9gr, 5ml","cavolfiori, sale, olio oliva"
1198,Cheesecake con salsa alle fragole,"['Piatto da preparare', 'Dessert', 'Dolce']","Burro 125 g, Zucchero semolato, Uova da galline allevate all'aperto senza OGM - Italia  CAT. A, Fragole (300g), Panna fresca da montare, Ricotta vaccina granarolo, Biscotti Petit","1unit, 150gr, 3unit, 1unit, 200ml, 200gr, 150gr","burro, zucchero, uova all'aperto ogm, , fragole, panna, ricotta, biscotti"
1219,Colomba con nocciole e cioccolato (500 g),"['Prodotto/Confezione', 'Novità e scelti per te', 'Dolce']","Dorato Moscato Vivace Provincia di Pavia Igt, Colomba nocciole e cioccolato","1unit, 1unit","vivace provincia pavia igt, colomba nocciole"
1218,Colomba con pere e cioccolato (500 g),"['Prodotto/Confezione', 'Novità e scelti per te', 'Dolce']","Colomba pere e cioccolato, Dorato Moscato Vivace Provincia di Pavia Igt","1unit, 1unit","colomba pere, vivace provincia pavia igt"
168,Coscia di pollo aperta al forno,"['Carne', 'Piatto da preparare', 'Grigliata', 'Secondo']","Sale marino fino iodato, Coscia di pollo aperta (350-400 gr circa), Rosmarino fresco","1gr, 400gr, 2gr","sale, coscia pollo, rosmarino"
1404,Cotoletta di pesce spada,"['Piatto da preparare', 'Pesce', 'Secondo']","Olio extra vergine di oliva, Fettina di spada impanata","1.5ml, 1unit","olio oliva, spada"
720,Cous cous con salmone e verdure,"['Piatto da preparare', 'Pesce', 'Primo']","Sale marino fino iodato, Basilico Italia, CousCous, Verdure cubettate per cous cous, Salmone fresco cubettato, Sale marino  grosso iodato, Cipolla tritata, Olio extra vergine di oliva","1gr, 2gr, 80gr, 130gr, 50gr, 1gr, 5gr, 5ml","sale, basilico, couscous, verdure cous cous, salmone, sale, cipolla, olio oliva"
719,Cous cous di carne e verdure,"['Carne', 'Piatto da preparare', 'Primo']","Verdure cubettate per cous cous, Straccetti  di pollo, Sale marino  grosso iodato, Sale marino fino iodato, Basilico Italia, Cipolla tritata, Olio extra vergine di oliva, CousCous","130gr, 50gr, 1gr, 1gr, 2gr, 5gr, 5ml, 80gr","verdure cous cous, straccetti pollo, sale, sale, basilico, cipolla, olio oliva, couscous"
718,Cous cous vegetariano,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Primo']","Verdure cubettate per cous cous, Sale marino fino iodato, Sale marino  grosso iodato, Basilico Italia, Cipolla tritata, Olio extra vergine di oliva, CousCous","130gr, 2gr, 1gr, 2gr, 5gr, 8ml, 80gr","verdure cous cous, sale, sale, basilico, cipolla, olio oliva, couscous"
668,Crema allo yogurt con salsa alle pesche,"['Piatto da preparare', 'Dolce']","Biscotti da latte, Pesca gialla Royal Summer, Limone da spremere (1 limone contiene circa 40ml di succo), Panna fresca da montare, Zucchero semolato bianco, Yogurt naturale biologico Granarolo 150 gr vasetto vetro","2unit, 1unit, 10ml, 150ml, 45gr, 1unit","biscotti latte, pesca gialla, limone limone, panna, zucchero, yogurt"
202,Crema di carote,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Primo']","Olio extra vergine di oliva, Sale marino  grosso iodato, Carote cubettate, Cipolla tritata, Formaggio Grattugiato Fresco","1.5ml, 4gr, 200gr, 5gr, 5gr","olio oliva, sale, carote, cipolla, formaggio"
818,Crema di zucca,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Primo']","Pepe nero macinato, Formaggio Grattugiato Fresco, Sale marino fino iodato, Olio extra vergine di oliva, Cipolla tritata, Zucca cubettata","1gr, 5gr, 4gr, 5ml, 5gr, 200gr","pepe, formaggio, sale, olio oliva, cipolla, zucca"
498,Crema estiva di zucchine e datterini,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Primo']","Olio extra vergine di oliva, Sale marino fino iodato, Formaggio Grattugiato Fresco, Zucchine tritate, Pomodori datterini lavati, Aglio a fette, Basilico Italia","10ml, 5gr, 5gr, 150gr, 50gr, 2gr, 2gr","olio oliva, sale, formaggio, zucchine tritate, pomodori, aglio, basilico"
503,Crema fredda di carote e asparagi con stracciatella  e menta,"['Piatto da preparare', 'Vegetariano', 'Primo']","Stracciatella Artigianale, Carote e asparagi, Olio extra vergine di oliva, Cipolla tritata, Sale marino fino iodato, Menta, Formaggio Grattugiato Fresco","40gr, 150gr, 10ml, 5gr, 2gr, 2gr, 5gr","stracciatella, carote asparagi, olio oliva, cipolla, sale, menta, formaggio"
468,Crepes alla nutella,"['Piatto da preparare', 'Vegetariano', 'Dessert', 'Dolce']","Uova da galline allevate all'aperto senza OGM - Italia  CAT. A, Latte Uht parzialmente scremato, Farina di grano tenero ""00"", Granarolo burro italiano 200 g, Nutella Ferrero 450g, Zucchero semolato bianco","1unit, 30ml, 30gr, 5gr, 6gr, 5gr","uova all'aperto ogm, , latte, farina grano, burro, nutella, zucchero"
1146,Crostata con confettura di frutta,"['Piatto da preparare', 'Dessert', 'Dolce']","Farina di grano tenero ""00"", Confettura extra albicocche 65% frutta, Limone, Uova da galline allevate all'aperto senza OGM - Italia  CAT. A, Zucchero semolato bianco, Burro 125 g","250gr, 1unit, 1unit, 1unit, 125gr, 1unit","farina grano, albicocche, limone, uova all'aperto ogm, , zucchero, burro"
1057,Cuore di scamone in crosta,"['Carne', 'Piatto da preparare', 'Secondo']","Cuore di scamone con granella di pistacchi e mandorle, Sale marino fino iodato, Olio extra vergine di oliva","180gr, 1.5gr, 5ml","scamone granella pistacchi mandorle, sale, olio oliva"
41,Cuore di scamone scottato in padella,"['Carne', 'Piatto da preparare', 'Grigliata', 'Secondo']","Olio extra vergine di oliva, Sale marino fino iodato, Cuore di scamone, Rosmarino fresco","1.5ml, 1gr, 150gr, 3gr","olio oliva, sale, scamone, rosmarino"
348,Dadolata di verdure,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Olio extra vergine di oliva, Verdure per dadolata di verdure, Basilico Italia, Cipolla tritata","1.5ml, 150gr, 2gr, 3gr","olio oliva, verdure verdure, basilico, cipolla"
441,Erbette fresche cotte in padella,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Sale marino fino iodato, Olio extra vergine di oliva, Erbette verdi fresche mondate","1gr, 1.5ml, 150gr","sale, olio oliva, erbette verdi"
1025,Fagottini sfiziosi,"['Carne', 'Piatto da preparare', 'Secondo']","Cubetti di caciocavallo dop Silano, Olio extra vergine di oliva, Gratinatura, Fettine di lonza","40gr, 3ml, 40gr, 120gr","caciocavallo silano, olio oliva, gratinatura, lonza"
981,Farfalle al tonno,"['Piatto da preparare', 'Pesce', 'Primo']","Basilico Italia, Formaggio Grattugiato Fresco, Sale marino fino iodato, Olio extra vergine di oliva, Aglio a fette, Sale marino  grosso iodato, Tonno in olio di semi di girasole, Passata di pomodoro, Farfalle","2gr, 5gr, 1gr, 1.5ml, 2gr, 9gr, 30gr, 70gr, 90gr","basilico, formaggio, sale, olio oliva, aglio, sale, tonno olio semi girasole, pomodoro, farfalle"
1373,Farfalle con ricotta e salmone,"['Piatto da preparare', 'Pesce', 'Novità e scelti per te', 'Primo']","Olio extra vergine di oliva, Sale marino  grosso iodato, Ricotta vaccina granarolo, Erba cipollina, Salmone affumicato julienne, Farfalle","1.5ml, 9gr, 50gr, 2gr, 40gr, 80gr","olio oliva, sale, ricotta, erba cipollina, salmone, farfalle"
106,Farfalle pomodoro e basilico,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Primo']","Formaggio Grattugiato Fresco, Olio extra vergine di oliva, Sale marino  grosso iodato, Sale marino fino iodato, Farfalle, Basilico Italia, Passata di pomodoro, Cipolla tritata","5gr, 1.5ml, 9gr, 1gr, 90gr, 2gr, 80gr, 5gr","formaggio, olio oliva, sale, sale, farfalle, basilico, pomodoro, cipolla"
657,Fettina di pollo gratinato in padella,"['Carne', 'Piatto da preparare', 'Secondo']","Olio extra vergine di oliva, Gratinatura, Filetto di pollo","1.5ml, 20gr, 120gr","olio oliva, gratinatura, filetto pollo"
451,Fettina di spada scottato in padella,"['Piatto da preparare', 'Pesce', 'Secondo']","Fettina di pesce spada, Olio extra vergine di oliva, Limone da spremere (1 limone contiene circa 40ml di succo), Sale marino fino iodato","120gr, 1.5ml, 5ml, 1gr","pesce spada, olio oliva, limone limone, sale"
421,Fettina di tacchino scottato in padella,"['Carne', 'Piatto da preparare', 'Secondo']","Olio extra vergine di oliva, Sale marino fino iodato, Fettine di tacchino","1.5ml, 1gr, 100gr","olio oliva, sale, tacchino"
1062,Fettina di tonno con granella di pistacchi e mandorle,"['Piatto da preparare', 'Pesce', 'Secondo']","Tonno pinne gialle con granella di pistacchi e mandorle, Sale marino fino iodato, Olio extra vergine di oliva","150gr, 2gr, 5ml","tonno granella pistacchi mandorle, sale, olio oliva"
564,Fettina di tonno rosso scottato in padella,"['Piatto da preparare', 'Natale e Kit regalo', 'Pesce', 'Secondo']","Olio extra vergine di oliva, Limone da spremere (1 limone contiene circa 40ml di succo), Sale marino fino iodato, Fettina di tonno rosso","5ml, 5ml, 2gr, 120gr","olio oliva, limone limone, sale, tonno"
998,Fettina di tonno scottato in padella,"['Piatto da preparare', 'Pesce', 'Secondo']","Sale marino fino iodato, Limone da spremere (1 limone contiene circa 40ml di succo), Olio extra vergine di oliva, Fettina di tonno pinne gialle","1gr, 5ml, 1.5ml, 120gr","sale, limone limone, olio oliva, tonno"
1623,Fettina di vitello alla pizzaiola,"['Carne', 'Piatto da preparare', 'Novità e scelti per te', 'Secondo']","Aglio, Sale marino fino iodato, Olio extra vergine di oliva, Origano essiccato, Passata di pomodoro, Fettina di fesa di vitello per paillard","2gr, 1gr, 1.5ml, 0.02gr, 80gr, 120gr","aglio, sale, olio oliva, origano, pomodoro, fesa vitello paillard"
1242,Fettine di lonza gratinate,"['Carne', 'Piatto da preparare', 'Novità e scelti per te', 'Secondo']","Olio extra vergine di oliva, Gratinatura, Fettine di lonza","10ml, 40gr, 120gr","olio oliva, gratinatura, lonza"
1028,Fettine di lonza in padella,"['Carne', 'Piatto da preparare', 'Secondo']","Sale marino fino iodato, Olio extra vergine di oliva, Fettine di lonza","1gr, 1.5ml, 120gr","sale, olio oliva, lonza"
1238,Fettine di salmone in crosta di pistacchio,"['Piatto da preparare', 'Pesce', 'Secondo']","Fettina di salmone con panatura al pistacchio, Sale marino fino iodato, Olio extra vergine di oliva","1unit, 1gr, 1.5ml","salmone pistacchio, sale, olio oliva"
218,Filetti di peperoni saltati in padella,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Olio extra vergine di oliva, Sale marino fino iodato, Aceto di mele, Peperoni tagliati a filetti, Prezzemolo Italia","1.5ml, 1gr, 5ml, 150gr, 2gr","olio oliva, sale, aceto mele, peperoni tagliati filetti, prezzemolo"
524,Filetti di sgombro in padella,"['Piatto da preparare', 'Pesce', 'Novità e scelti per te', 'Secondo']","Sgombro eviscerato, Olio extra vergine di oliva, Sale marino fino iodato","1unit, 5ml, 2gr","sgombro, olio oliva, sale"
159,"Filetto di branzino con ciliegini, timo e olive taggiasche","['Piatto da preparare', 'Pesce', 'Secondo']","Timo fresco, Olio extra vergine di oliva, Sale marino fino iodato, Filetto di branzino (circa 100/120gr)Allevato Grecia/Croazia, Pomodori ciliegini lavati, Olive taggiasche, Aglio a fette","2gr, 1.5ml, 1gr, 120gr, 20gr, 10gr, 2gr","timo, olio oliva, sale, filetto branzino greciacroazia, pomodori ciliegini, olive, aglio"
342,Filetto di branzino scottato in padella,"['Piatto da preparare', 'Pesce', 'Secondo']",Filetto di branzino (circa 100/120gr)Allevato Grecia/Croazia,120gr,filetto branzino greciacroazia
173,Filetto di orata gratinato,"['Piatto da preparare', 'Pesce', 'Secondo']","Olio extra vergine di oliva, Filetto di orata fresco (100/120 gr circa) Allevato Grecia/Croazia, Gratinatura mare","1.5ml, 120gr, 25gr","olio oliva, filetto greciacroazia, gratinatura mare"
350,Filetto di orata scottato in padella,"['Piatto da preparare', 'Pesce', 'Secondo']","Filetto di orata fresco (100/120 gr circa) Allevato Grecia/Croazia, Olio extra vergine di oliva, Sale marino fino iodato","120gr, 1.5ml, 1gr","filetto greciacroazia, olio oliva, sale"
31,Filetto di pollo in padella,"['Carne', 'Piatto da preparare', 'Grigliata', 'Secondo']","Olio extra vergine di oliva, Sale marino fino iodato, Filetto di pollo","1.5ml, 1gr, 120gr","olio oliva, sale, filetto pollo"
55,Finocchi gratinati,"['Piatto da preparare', 'Vegetariano', 'Contorno']","Sale marino  grosso iodato, Olio extra vergine di oliva, Finocchi mondati, Scaglie di formaggio stagionato","8gr, 1.5ml, 100gr, 10gr","sale, olio oliva, finocchi, formaggio"
1217,Focaccina farcita,"['Piatto da preparare', 'Schiscetta', 'Pizze e panini', 'Piatti estivi']","Mozzarella di bufala a fette, Fettine di caciocavallo dop Silano, Prosciutto crudo di Parma  affettato, Prosciutto cotto affettato, Pomodoro cuore di bue a fette, Focaccina tonda","75gr, 20gr, 40gr, 50gr, 20gr, 1unit","mozzarella bufala, caciocavallo silano, prosciutto crudo, prosciutto cotto, pomodoro bue, focaccina tonda"
402,Fragole con panna fresca,"['Piatto da preparare', 'Vegetariano', 'Dessert', 'Dolce']","Fragole (300g), Panna fresca da montare, Limone da spremere (1 limone contiene circa 40ml di succo), Zucchero semolato bianco","1unit, 150ml, 5ml, 2gr","fragole, panna, limone limone, zucchero"
446,Frittata agli asparagi,"['Piatto da preparare', 'Vegetariano', 'Novità e scelti per te', 'Secondo']","Uova da galline allevate all'aperto senza OGM - Italia  CAT. A, Formaggio grattugiato fresco, Olio extra vergine di oliva, Aglio a fette, Sale marino fino iodato, Asparagi freschi rondelle It","2unit, 10gr, 5ml, 2gr, 2gr, 50gr","uova all'aperto ogm, , formaggio, olio oliva, aglio, sale, asparagi"
442,Frittata alle zucchine,"['Piatto da preparare', 'Vegetariano', 'Secondo']","Uova da galline allevate all'aperto senza OGM - Italia  CAT. A, Zucchine cubettate, Formaggio grattugiato fresco, Aglio a fette, Olio extra vergine di oliva, Sale marino fino iodato","2unit, 70gr, 10gr, 2gr, 1.5ml, 1gr","uova all'aperto ogm, , zucchine, formaggio, aglio, olio oliva, sale"
1203,Frittata con le cipolle,"['Piatto da preparare', 'Vegetariano', 'Secondo']","Sale marino fino iodato, Olio extra vergine di oliva, Formaggio grattugiato fresco, Cipolla affettata, Uova da galline allevate all'aperto senza OGM - Italia  CAT. A","1gr, 1.5ml, 10gr, 100gr, 2unit","sale, olio oliva, formaggio, cipolla, uova all'aperto ogm, "
1715,Frittata zucchine e provola affumicata,"['Piatto da preparare', 'Vegetariano', 'Novità e scelti per te', 'Secondo']","Provola affumicata cubettata, Sale marino fino iodato, Cipolla tritata, Olio extra vergine di oliva, Formaggio grattugiato fresco, Zucchine cubettate, Uova da galline allevate all'aperto senza OGM - Italia  CAT. A","10gr, 1gr, 5gr, 1.5ml, 5gr, 60gr, 2unit","provola, sale, cipolla, olio oliva, formaggio, zucchine, uova all'aperto ogm, "
776,Funghi trifolati,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Contorno']","Aglio a fette, Funghi Champignon crema affettati, Sale marino fino iodato, Prezzemolo Italia, Olio extra vergine di oliva","2gr, 150gr, 1gr, 2gr, 1.5ml","aglio, funghi champignon crema affettati, sale, prezzemolo, olio oliva"
357,Fusilli all'ortolana,"['Piatto da preparare', 'Vegano', 'Vegetariano', 'Primo']","Basilico Italia, Fusilli, Sale marino  grosso iodato, Sale marino fino iodato, Olio extra vergine di oliva, Passata di pomodoro, Verdure cubettate per ortolana, Cipolla tritata, Formaggio Grattugiato Fresco","2gr, 90gr, 9gr, 3gr, 1.5ml, 60gr, 40gr, 3gr, 5gr","basilico, fusilli, sale, sale, olio oliva, pomodoro, verdure ortolana, cipolla, formaggio"
615,Fusilli con asparagi e stracciatella,"['Piatto da preparare', 'Vegetariano', 'Primo']","Fusilli, Asparagi freschi rondelle It, Sale marino fino iodato, Olio extra vergine di oliva, Stracciatella Artigianale","1gr, 1gr, 1gr, 1ml, 1gr","fusilli, asparagi, sale, olio oliva, stracciatella"
104,Fusilli con salmone fresco e pomodori ciliegini,"['Piatto da preparare', 'Pesce', 'Primo']","Sale marino fino iodato, Sale marino  grosso iodato, Olio extra vergine di oliva, Fusilli, Pomodori ciliegini lavati, Salmone fresco cubettato, Aglio a fette, Basilico Italia","1gr, 9gr, 1.5ml, 90gr, 50gr, 40gr, 2gr, 2gr","sale, sale, olio oliva, fusilli, pomodori ciliegini, salmone, aglio, basilico"
